id_me,morph,length_cm,weight_g,sex,mat,age,may_maxilla_rt,may_maxilla_lt,may_premaxilla_rt,may_premaxilla_lt,may_palatine_rt,may_palatine_lt,may_dentary_rt,may_dentary_lt,may_vomer,may_glossohyal,may_maxilla_mean,may_premaxilla_mean,may_palatine_mean,may_dentary_mean,may_maxilla_sum,may_premaxilla_sum,may_palatine_sum,may_dentary_sum,march_maxilla_rt,march_maxilla_lt,march_premaxilla_rt,march_premaxilla_lt,march_palatine_rt,march_palatine_lt,march_dentary_rt,march_dentary_lt,march_vomer,march_glossohyal,march_maxilla_mean,march_premaxilla_mean,march_palatine_mean,march_dentary_mean,march_maxilla_sum,march_premaxilla_sum,march_palatine_sum,march_dentary_sum,logCsize_dentary,logCsize_maxilla,logCsize_premaxilla,maxilla_rt,maxilla_lt,premaxilla_rt,premaxilla_lt,palatine_rt,palatine_lt,dentary_rt,dentary_lt,maxilla,premaxilla,palatine,dentary,vomer,glossohyal
PC4212,PL,13.4,25.34,M,5,5,18,19,10,8,16,18,15,16,3,13,18.5,9,17,15.5,37,18,34,31,18,20,8,7,16,19,15,15,3,13,19,7.5,17.5,15,38,15,35,30,0.5232894,0.5594861,-1.153639724,18,19.5,9,7.5,16,18.5,15,15.5,18.75,8.25,17.25,15.25,3,13
PC4213,PL,14.4,33.98,M,6,4,19,17,8,7,16,15,16,14,3,12,18,7.5,15.5,15,36,15,31,30,20,17,7,7,16,15,14,12,3,12,18.5,7,15.5,13,37,14,31,26,0.5674114,0.5186075,-1.066685327,19.5,17,7.5,7,16,15,15,13,18.25,7.25,15.5,14,3,12
PC4214,PL,12,20.83,M,6,5,18,16,7,7,16,15,13,13,3,13,17,7,15.5,13,34,14,31,26,20,18,6,7,16,13,13,13,3,13,19,6.5,14.5,13,38,13,29,26,0.4108039,0.4061405,-1.135128076,19,17,6.5,7,16,14,13,13,18,6.75,15,13,3,13
PC4215,PL,17,51.2,M,6,5,21,21,7,NA,17,16,17,16,4,12,21,7,16.5,16.5,42,NA,33,33,22,21,6,NA,17,14,16,15,3,11,21.5,6,15.5,15.5,43,NA,31,31,0.7897646,0.7808549,-0.75804432,21.5,21,6.5,NA,17,15,16.5,15.5,21.25,6.5,16,16,3.5,11.5
PC4216,PL,16.1,48.79,M,6,4,19,17,8,7,17,19,16,16,5,13,18,7.5,18,16,36,15,36,32,20,17,7,6,15,17,13,14,6,12,18.5,6.5,16,13.5,37,13,32,27,0.7110148,0.7072824,-0.996963833,19.5,17,7.5,6.5,16,18,14.5,15,18.25,7,17,14.75,5.5,12.5
PC4217,PL,15.2,42.11,M,5,5,18,18,6,6,15,16,NA,15,4,12,18,6,15.5,15,36,12,31,NA,20,18,6,6,13,15,NA,14,5,12,19,6,14,14,38,12,28,NA,0.6974301,0.6077942,-1.050330567,19,18,6,6,14,15.5,NA,14.5,18.5,6,14.75,14.5,4.5,12
PC4218,PL,17.5,61.78,M,6,5,20,17,7,7,15,14,15,16,NA,12,18.5,7,14.5,15.5,37,14,29,31,21,17,7,7,15,15,16,17,NA,12,19,7,15,16.5,38,14,30,33,0.7737485,0.7672126,-0.782236348,20.5,17,7,7,15,14.5,15.5,16.5,18.75,7,14.75,16,NA,12
PC4219,SB,10.5,20.71,M,6,4,15,16,7,6,NA,13,12,12,4,8,15.5,6.5,13,12,31,13,NA,24,16,16,6,6,NA,14,12,12,4,9,16,6,14,12,32,12,NA,24,0.3069576,0.4251876,-1.165345381,15.5,16,6.5,6,NA,13.5,12,12,15.75,6.25,13.5,12,4,8.5
PC4220,SB,14.2,21.42,M,6,3,16,16,7,6,16,14,12,12,4,10,16,6.5,15,12,32,13,30,24,18,17,7,5,16,14,12,12,4,10,17.5,6,15,12,35,12,30,24,0.5186841,0.6014619,-0.881958058,17,16.5,7,5.5,16,14,12,12,16.75,6.25,15,12,4,10
PC4235,SB,13.4,24.9,F,7/6?,5,17,18,8,8,16,16,13,13,4,12,17.5,8,16,13,35,16,32,26,17,18,8,7,16,16,13,13,4,12,17.5,7.5,16,13,35,15,32,26,0.4885782,0.5665068,-0.901040978,17,18,8,7.5,16,16,13,13,17.5,7.75,16,13,4,12
PC4221,SB,20.8,102.75,F,4,6,22,21,8,7,17,17,13,15,5,12,21.5,7.5,17,14,43,15,34,28,23,23,8,7,16,17,14,14,5,11,23,7.5,16.5,14,46,15,33,28,0.9257083,0.9806895,-0.469517096,22.5,22,8,7,16.5,17,13.5,14.5,22.25,7.5,16.75,14,5,11.5
PC4222,SB,14.1,32.86,M,6,8,21,18,8,6,14,18,13,13,5,11,19.5,7,16,13,39,14,32,26,21,18,8,6,13,18,13,13,5,11,19.5,7,15.5,13,39,14,31,26,0.6275174,0.7337661,-0.763137812,21,18,8,6,13.5,18,13,13,19.5,7,15.75,13,5,11
PC4223,SB,14.3,31.8,F,7/6?,8,16,20,7,9,NA,16,13,13,4,9,18,8,16,13,36,16,NA,26,16,19,7,8,NA,15,13,14,4,9,17.5,7.5,15,13.5,35,15,NA,27,0.4200137,0.4826848,-0.93785689,16,19.5,7,8.5,NA,15.5,13,13.5,17.75,7.75,15.5,13.25,4,9
PC4224,SB,14.5,34.05,M,6,5,NA,NA,8,7,18,18,12,13,3,11,NA,7.5,18,12.5,NA,15,36,25,NA,NA,8,7,18,18,12,13,3,11,NA,7.5,18,12.5,NA,15,36,25,0.5033714,NA,-0.933411974,NA,NA,8,7,18,18,12,13,NA,7.5,18,12.5,3,11
PC4225,SB,16,44.77,F,6,4,20,17,8,NA,21,20,14,14,4,12,18.5,8,20.5,14,37,NA,41,28,20,17,7,NA,19,19,14,13,4,13,18.5,7,19,13.5,37,NA,38,27,0.5220466,0.5374071,-0.88733921,20,17,7.5,NA,20,19.5,14,13.5,18.5,7.5,19.75,13.75,4,12.5
PC4226,SB,11.9,14.48,F,7,5,15,15,7,7,13,15,12,13,3,12,15,7,14,12.5,30,14,28,25,15,15,7,7,13,14,13,13,3,12,15,7,13.5,13,30,14,27,26,0.3224365,0.3361367,-1.208561612,15,15,7,7,13,14.5,12.5,13,15,7,13.75,12.75,3,12
PC4227,SB,13.6,27.99,M,6,5,20,19,8,NA,16,16,16,15,5,12,19.5,8,16,15.5,39,NA,32,31,20,21,8,NA,15,15,14,15,5,10,20.5,8,15,14.5,41,NA,30,29,0.6111171,0.7040514,-0.891771672,20,20,8,NA,15.5,15.5,15,15,20,8,15.5,15,5,11
PC4228,SB,20.2,103.34,F,7?,6,17,18,9,8,16,16,14,14,3,10,17.5,8.5,16,14,35,17,32,28,19,18,8,8,15,15,13,12,5,10,18.5,8,15,12.5,37,16,30,25,0.8864013,0.9322941,-0.500105078,18,18,8.5,8,15.5,15.5,13.5,13,18,8.25,15.5,13.25,4,10
PC4229,SB,17,71.77,F,5,8,17,17,6,8,12,16,12,14,2,11,17,7,14,13,34,14,28,26,17,17,6,8,12,16,11,12,3,11,17,7,14,11.5,34,14,28,23,0.5796077,0.7528639,-0.688550829,17,17,6,8,12,16,11.5,13,17,7,14,12.25,2.5,11
PC4230,SB,14.2,32.22,F,5,6,19,19,7,7,15,15,12,12,2,10,19,7,15,12,38,14,30,24,19,19,7,7,15,14,12,12,2,11,19,7,14.5,12,38,14,29,24,0.4496137,0.5756849,-0.951374827,19,19,7,7,15,14.5,12,12,19,7,14.75,12,2,10.5
PC4231,PL,14.3,27.2,M,6,6,NA,15,7,6,17,15,12,14,2,11,15,6.5,16,13,NA,13,32,26,NA,16,7,7,15,14,12,13,2,11,16,7,14.5,12.5,NA,14,29,25,0.522149,0.5471228,-1.056528558,NA,15.5,7,6.5,16,14.5,12,13.5,15.5,6.75,15.25,12.75,2,11
PC4232,SB,24.2,147.58,F,7,6,16,16,8,8,15,14,14,14,4,11,16,8,14.5,14,32,16,29,28,17,17,8,8,15,14,14,13,4,11,17,8,14.5,13.5,34,16,29,27,0.9793641,1.0602409,-0.374001269,16.5,16.5,8,8,15,14,14,13.5,16.5,8,14.5,13.75,4,11
PC4233,SB,11,15.55,M,6,12,NA,14,9,7,16,16,12,13,2,9,14,8,16,12.5,NA,16,32,25,NA,16,8,6,14,14,12,13,2,10,16,7,14,12.5,NA,14,28,25,0.2495745,0.2464628,-1.183579087,NA,15,8.5,6.5,15,15,12,13,15,7.5,15,12.5,2,9.5
PC4236,LB,50,1430,F,7,8,23,23,10,8,16,18,19,20,2,13,23,9,17,19.5,46,18,34,39,23,23,10,8,16,19,18,17,2,14,23,9,17.5,17.5,46,18,35,35,1.8553771,1.8825976,0.444520653,23,23,10,8,16,18.5,18.5,18.5,23,9,17.25,18.5,2,13.5
PC4237,PI,43.2,980,F,7,12,26,24,7,8,22,20,20,20,7,15,25,7.5,21,20,50,15,42,40,26,24,7,8,22,20,19,19,6,15,25,7.5,21,19,50,15,42,38,1.7101586,1.7342305,0.165154344,26,24,7,8,22,20,19.5,19.5,25,7.5,21,19.5,6.5,15
PC4238,PI,50,1795,M,6,8,22,23,8,8,17,17,20,20,7,12,22.5,8,17,20,45,16,34,40,24,23,8,8,17,17,19,17,7,11,23.5,8,17,18,47,16,34,36,2.1489658,2.1919838,0.693541612,23,23,8,8,17,17,19.5,18.5,23,8,17,19,7,11.5
PC4239,LB,43.4,995,M,7,8,20,21,7,7,16,18,14,14,5,11,20.5,7,17,14,41,14,34,28,20,21,7,7,17,18,14,12,5,11,20.5,7,17.5,13,41,14,35,26,1.7521052,1.7650706,0.293813626,20,21,7,7,16.5,18,14,13,20.5,7,17.25,13.5,5,11
PC4240,PI,41,780,F,7,9,18,19,7,8,16,15,17,15,6,11,18.5,7.5,15.5,16,37,15,31,32,19,19,7,7,16,15,16,17,5,11,19,7,15.5,16.5,38,14,31,33,1.6082357,1.6444442,0.070488416,18.5,19,7,7.5,16,15,16.5,16,18.75,7.25,15.5,16.25,5.5,11
PC4241,PI,35.6,490,F,7,12,17,21,8,9,17,17,15,16,4,13,19,8.5,17,15.5,38,17,34,31,17,18,7,9,15,15,15,15,5,12,17.5,8,15,15,35,16,30,30,1.4747506,1.4543679,-0.139703435,17,19.5,7.5,9,16,16,15,15.5,18.25,8.25,16,15.25,4.5,12.5
PC4242,PI,33,425,M,5,9,24,22,6,8,20,20,18,17,5,13,23,7,20,17.5,46,14,40,35,24,23,6,8,19,17,16,16,6,13,23.5,7,18,16,47,14,36,32,1.6035308,1.6159891,0.092431063,24,22.5,6,8,19.5,18.5,17,16.5,23.25,7,19,16.75,5.5,13
PC4243,PI,36,565,M,6,12,21,21,9,7,19,18,17,17,6,15,21,8,18.5,17,42,16,37,34,21,24,9,7,19,18,17,16,5,14,22.5,8,18.5,16.5,45,16,37,33,1.6598913,1.6832638,0.330115209,21,22.5,9,7,19,18,17,16.5,21.75,8,18.5,16.75,5.5,14.5
PC4244,LB,32,345,M,5,4,21,22,8,8,21,19,14,14,5,10,21.5,8,20,14,43,16,40,28,21,20,7,8,19,18,14,14,6,10,20.5,7.5,18.5,14,41,15,37,28,1.2869663,1.374872,-0.035360849,21,21,7.5,8,20,18.5,14,14,21,7.75,19.25,14,5.5,10
PC4245,PI,27.2,245,M,5,12,25,26,9,10,16,16,17,17,NA,15,25.5,9.5,16,17,51,19,32,34,25,24,7,9,15,14,16,14,NA,14,24.5,8,14.5,15,49,16,29,30,1.370126,1.363855,-0.145408932,25,25,8,9.5,15.5,15,16.5,15.5,25,8.75,15.25,16,NA,14.5
PC4246,SB,29.7,285,F,7?,5,17,19,9,8,14,17,14,17,5,12,18,8.5,15.5,15.5,36,17,31,31,18,20,8,8,14,17,14,16,5,11,19,8,15.5,15,38,16,31,30,1.2481107,1.2668626,-0.16362207,17.5,19.5,8.5,8,14,17,14,16.5,18.5,8.25,15.5,15.25,5,11.5
PC4247,PL,29.9,270,F,7,7,20,18,7,7,20,20,18,15,5,14,19,7,20,16.5,38,14,40,33,20,17,8,7,20,20,18,13,5,12,18.5,7.5,20,15.5,37,15,40,31,1.2474466,1.2038618,-0.356434064,20,17.5,7.5,7,20,20,18,14,18.75,7.25,20,16,5,13
PC4248,PL,26,180,F,7,7,18,17,7,7,18,17,17,16,5,12,17.5,7,17.5,16.5,35,14,35,33,18,17,8,7,18,16,17,16,4,12,17.5,7.5,17,16.5,35,15,34,33,1.0654421,1.0511679,-0.464332787,18,17,7.5,7,18,16.5,17,16,17.5,7.25,17.25,16.5,4.5,12
PC4249,PI,47,1150,F,7,11,21,21,8,7,23,17,19,19,5,9,21,7.5,20,19,42,15,40,38,21,21,7,7,22,16,16,16,5,9,21,7,19,16,42,14,38,32,1.8024257,1.7600206,0.26209821,21,21,7.5,7,22.5,16.5,17.5,17.5,21,7.25,19.5,17.5,5,9
PC4250,PI,45,905,F,7,7,22,25,9,7,18,16,18,15,3,13,23.5,8,17,16.5,47,16,34,33,24,23,7,7,16,16,17,15,3,13,23.5,7,16,16,47,14,32,32,1.7850672,1.7956688,0.252909723,23,24,8,7,17,16,17.5,15,23.5,7.5,16.5,16.25,3,13
PC4251,PI,42.9,945,F,7,8,22,NA,8,7,18,20,17,16,6,14,22,7.5,19,16.5,NA,15,38,33,22,NA,8,7,18,20,15,15,4,14,22,7.5,19,15,NA,15,38,30,1.6318368,1.6200988,0.155059335,22,NA,8,7,18,20,16,15.5,22,7.5,19,15.75,5,14
PC4252,PI,32.8,430,M,6,7,20,20,9,7,16,19,14,16,6,12,20,8,17.5,15,40,16,35,30,20,19,8,7,16,17,13,14,5,11,19.5,7.5,16.5,13.5,39,15,33,27,1.5061542,1.4275362,-0.104775499,20,19.5,8.5,7,16,18,13.5,15,19.75,7.75,17,14.25,5.5,11.5
PC4253,PI,31,360,F,6,7,24,21,7,9,17,19,15,15,6,12,22.5,8,18,15,45,16,36,30,23,22,7,8,17,18,15,13,6,12,22.5,7.5,17.5,14,45,15,35,28,1.3045043,1.3084047,-0.249951008,23.5,21.5,7,8.5,17,18.5,15,14,22.5,7.75,17.75,14.5,6,12
PC4254,PI,31.5,340,F,7,10,24,25,7,9,20,18,16,18,5,12,24.5,8,19,17,49,16,38,34,25,25,8,9,18,18,15,17,6,11,25,8.5,18,16,50,17,36,32,1.3383702,1.333377,-0.328245706,24.5,25,7.5,9,19,18,15.5,17.5,24.75,8.25,18.5,16.5,5.5,11.5
PC4255,PI,34.4,375,F,7,7,23,22,8,8,20,19,17,15,6,14,22.5,8,19.5,16,45,16,39,32,25,22,8,8,18,17,16,13,6,13,23.5,8,17.5,14.5,47,16,35,29,1.388602,1.4311301,-0.164883006,24,22,8,8,19,18,16.5,14,23,8,18.5,15.25,6,13.5
PC4256,PI,28.9,265,M,6,8,21,20,6,7,16,16,14,16,6,11,20.5,6.5,16,15,41,13,32,30,19,19,6,7,16,15,14,14,5,11,19,6.5,15.5,14,38,13,31,28,1.3433663,1.3644274,-0.164970132,20,19.5,6,7,16,15.5,14,15,19.75,6.5,15.75,14.5,5.5,11
PC4257,PI,29.6,265,M,5,7,23,20,8,7,20,20,16,19,5,13,21.5,7.5,20,17.5,43,15,40,35,22,20,8,7,19,18,15,16,4,14,21,7.5,18.5,15.5,42,15,37,31,1.3304506,1.2718684,-0.265524051,22.5,20,8,7,19.5,19,15.5,17.5,21.25,7.5,19.25,16.5,4.5,13.5
PC4258,PI,30,240,F,7,8,23,19,7,7,20,20,19,19,6,16,21,7,20,19,42,14,40,38,23,19,6,7,20,18,19,18,6,16,21,6.5,19,18.5,42,13,38,37,1.3405054,1.3159993,-0.375087699,23,19,6.5,7,20,19,19,18.5,21,6.75,19.5,18.75,6,16
PC4259,SB,29.4,265,F,7,5,21,NA,7,7,15,16,12,12,8,10,21,7,15.5,12,NA,14,31,24,20,NA,8,8,16,15,12,10,7,10,20,8,15.5,11,NA,16,31,22,1.0011376,1.2070753,-0.310234528,20.5,NA,7.5,7.5,15.5,15.5,12,11,20.5,7.5,15.5,11.5,7.5,10
PC4260,PL,24,160,M,3,6,21,19,8,6,19,18,14,13,5,13,20,7,18.5,13.5,40,14,37,27,21,19,8,7,18,15,12,13,5,12,20,7.5,16.5,12.5,40,15,33,25,1.2571031,1.2250592,-0.434284271,21,19,8,6.5,18.5,16.5,13,13,20,7.25,17.5,13,5,12.5
PC4261,PL,25.8,155,F,7,7,18,NA,8,8,20,20,17,18,7,14,18,8,20,17.5,NA,16,40,35,18,NA,7,8,19,19,18,17,6,14,18,7.5,19,17.5,NA,15,38,35,1.1004072,1.0380778,-0.394555862,18,NA,7.5,8,19.5,19.5,17.5,17.5,18,7.75,19.5,17.5,6.5,14
PC4263,PL,26.4,185,F,7,8,20,19,8,8,19,20,15,17,5,14,19.5,8,19.5,16,39,16,39,32,21,19,7,8,19,19,15,15,5,14,20,7.5,19,15,40,15,38,30,1.1320273,1.0768645,-0.449248548,20.5,19,7.5,8,19,19.5,15,16,19.75,7.75,19.25,15.5,5,14
PC4264,PL,22,125,M,5,6,20,19,8,8,18,17,17,14,NA,10,19.5,8,17.5,15.5,39,16,35,31,21,20,8,8,17,16,18,13,NA,10,20.5,8,16.5,15.5,41,16,33,31,1.0651279,1.0597176,-0.596047368,20.5,19.5,8,8,17.5,16.5,17.5,13.5,20,8,17,15.5,NA,10
PC4266,PL,25,160,F,7,7,23,22,7,8,21,21,17,17,5,14,22.5,7.5,21,17,45,15,42,34,22,22,7,8,20,19,18,17,5,12,22,7.5,19.5,17.5,44,15,39,35,1.0146452,1.0378989,-0.462016051,22.5,22,7,8,20.5,20,17.5,17,22.25,7.5,20.25,17.25,5,13
PC4267,PL,27.1,200,F,7,11,22,22,8,8,17,17,17,19,NA,14,22,8,17,18,44,16,34,36,22,22,7,7,17,17,17,17,NA,14,22,7,17,17,44,14,34,34,1.1886984,1.2210298,-0.352815197,22,22,7.5,7.5,17,17,17,18,22,7.5,17,17.5,NA,14
PC4268,SB,22,98.33,F,2,6,19,21,9,8,16,17,14,16,4,13,20,8.5,16.5,15,40,17,33,30,19,20,8,7,16,14,15,15,4,12,19.5,7.5,15,15,39,15,30,30,0.9121151,0.9926104,-0.420291765,19,20.5,8.5,7.5,16,15.5,14.5,15.5,19.75,8,15.75,15,4,12.5
PC4269,SB,22.5,113.25,M,6,8,21,17,7,6,16,15,13,12,3,9,19,6.5,15.5,12.5,38,13,31,25,20,17,7,6,14,15,11,11,3,9,18.5,6.5,14.5,11,37,13,29,22,0.9306836,1.061864,-0.425912222,20.5,17,7,6,15,15,12,11.5,18.75,6.5,15,11.75,3,9
PC4270,SB,21.9,111.02,F,7,7,22,21,10,10,18,18,15,17,6,12,21.5,10,18,16,43,20,36,32,23,20,9,9,18,18,14,15,6,12,21.5,9,18,14.5,43,18,36,29,0.9466703,1.0348432,-0.390184206,22.5,20.5,9.5,9.5,18,18,14.5,16,21.5,9.5,18,15.25,6,12
PC4271,SB,20.2,82.76,F,2,5,18,17,8,9,NA,NA,12,14,3,13,17.5,8.5,NA,13,35,17,NA,26,18,17,7,8,NA,NA,12,12,4,12,17.5,7.5,NA,12,35,15,NA,24,0.772023,0.8076641,-0.610868916,18,17,7.5,8.5,NA,NA,12,13,17.5,8,NA,12.5,3.5,12.5
PC4272,SB,19.6,78.88,F,2,6,17,19,8,8,15,14,10,13,7,11,18,8,14.5,11.5,36,16,29,23,18,20,7,8,15,14,11,11,6,11,19,7.5,14.5,11,38,15,29,22,0.8082435,0.8258154,-0.681931392,17.5,19.5,7.5,8,15,14,10.5,12,18.5,7.75,14.5,11.25,6.5,11
PC4273,SB,20.6,100.88,F,7,6,16,18,7,7,17,17,12,13,1,10,17,7,17,12.5,34,14,34,25,16,19,7,7,15,17,11,13,2,11,17.5,7,16,12,35,14,32,24,0.799517,0.9025003,-0.551536356,16,18.5,7,7,16,17,11.5,13,17.25,7,16.5,12.25,1.5,10.5
PC4274,SB,19,77.67,F,7,6,21,18,6,6,15,18,14,13,5,10,19.5,6,16.5,13.5,39,12,33,27,22,17,6,6,15,18,15,11,4,9,19.5,6,16.5,13,39,12,33,26,0.8459988,0.8481039,-0.677543155,21.5,17.5,6,6,15,18,14.5,12,19.5,6,16.5,13.25,4.5,9.5
PC4275,SB,18.6,70.99,F,2,8,20,18,7,8,17,18,13,12,5,11,19,7.5,17.5,12.5,38,15,35,25,20,18,7,7,17,18,13,12,4,11,19,7,17.5,12.5,38,14,35,25,0.7422235,0.7715224,-0.668638557,20,18,7,7.5,17,18,13,12,19,7.25,17.5,12.5,4.5,11
PC4276,SB,17.8,73.1,F,7,5,20,19,8,7,19,16,14,14,6,10,19.5,7.5,17.5,14,39,15,35,28,20,19,8,6,19,15,15,14,5,11,19.5,7,17,14.5,39,14,34,29,0.6765509,0.8058694,-0.657055034,20,19,8,6.5,19,15.5,14.5,14,19.5,7.25,17.25,14.25,5.5,10.5
PC4277,SB,18.9,78.02,F,2,7,18,21,8,9,18,17,14,14,4,12,19.5,8.5,17.5,14,39,17,35,28,20,20,7,9,18,17,14,13,3,12,20,8,17.5,13.5,40,16,35,27,0.6007126,0.7546978,-0.615955454,19,20.5,7.5,9,18,17,14,13.5,19.75,8.25,17.5,13.75,3.5,12
PC4278,SB,19.1,84.33,F,7,6,18,18,8,7,16,14,15,15,4,12,18,7.5,15,15,36,15,30,30,18,17,8,7,16,12,14,15,3,12,17.5,7.5,14,14.5,35,15,28,29,0.8312094,0.8445676,-0.652437868,18,17.5,8,7,16,13,14.5,15,17.75,7.5,14.5,14.75,3.5,12
PC4279,SB,20.5,82.97,M,7,11,24,24,7,7,17,20,16,14,5,16,24,7,18.5,15,48,14,37,30,24,23,6,7,17,19,16,14,5,13,23.5,6.5,18,15,47,13,36,30,0.9988387,1.0346174,-0.391683145,24,23.5,6.5,7,17,19.5,16,14,23.75,6.75,18.25,15,5,14.5
PC4280,SB,19,75.13,M,6,7,17,19,7,8,19,16,13,13,4,10,18,7.5,17.5,13,36,15,35,26,17,19,7,8,17,16,13,12,4,9,18,7.5,16.5,12.5,36,15,33,25,0.853603,0.940296,-0.528535081,17,19,7,8,18,16,13,12.5,18,7.5,17,12.75,4,9.5
PC4281,SB,13,19,F,7,6,18,18,7,7,16,NA,13,13,2,12,18,7,16,13,36,14,NA,26,19,18,7,7,16,NA,12,12,2,12,18.5,7,16,12,37,14,NA,24,0.4338218,0.4480576,-1.215923413,18.5,18,7,7,16,NA,12.5,12.5,18.25,7,16,12.5,2,12
PC4282,SB,20,80.29,M,5,6,19,19,7,7,16,16,13,14,3,13,19,7,16,13.5,38,14,32,27,18,19,8,5,16,16,13,13,4,11,18.5,6.5,16,13,37,13,32,26,0.86067,0.9196667,-0.559821208,18.5,19,7.5,6,16,16,13,13.5,18.75,6.75,16,13.25,3.5,12
PC4283,SB,16,44.21,F,7,6,16,17,8,7,17,16,15,12,3,13,16.5,7.5,16.5,13.5,33,15,33,27,16,17,7,6,17,16,15,12,3,10,16.5,6.5,16.5,13.5,33,13,33,27,0.6100674,0.6401857,-0.843124792,16,17,7.5,6.5,17,16,15,12,16.5,7,16.5,13.5,3,11.5
PC4284,SB,18.5,75.44,F,7,5,17,17,7,9,15,16,12,12,4,10,17,8,15.5,12,34,16,31,24,17,18,8,8,15,16,11,11,4,12,17.5,8,15.5,11,35,16,31,22,0.7596681,0.7976486,-0.687593107,17,17.5,7.5,8.5,15,16,11.5,11.5,17.25,8,15.5,11.5,4,11
PC4285,SB,17.5,67.88,F,7,10,20,19,7,7,18,17,13,13,5,12,19.5,7,17.5,13,39,14,35,26,20,19,7,7,16,17,13,13,5,11,19.5,7,16.5,13,39,14,33,26,0.7036057,0.7524852,-0.737968344,20,19,7,7,17,17,13,13,19.5,7,17,13,5,11.5
PC4286,SB,15.9,43.82,NA,NA,4,23,24,8,7,19,19,12,12,4,12,23.5,7.5,19,12,47,15,38,24,25,21,7,6,17,19,12,11,4,12,23,6.5,18,11.5,46,13,36,23,0.5571748,0.5874797,-0.852881234,24,22.5,7.5,6.5,18,19,12,11.5,23.25,7,18.5,11.75,4,12
PC4287,SB,14,28.88,F,7,4,17,17,8,7,18,17,11,12,3,10,17,7.5,17.5,11.5,34,15,35,23,18,18,8,7,18,17,11,12,3,11,18,7.5,17.5,11.5,36,15,35,23,0.439141,0.5374793,-0.955612453,17.5,17.5,8,7,18,17,11,12,17.5,7.5,17.5,11.5,3,10.5
PC4288,SB,11.8,23.27,F,7,4,17,18,NA,9,15,15,11,12,3,11,17.5,9,15,11.5,35,NA,30,23,17,19,NA,8,13,15,12,12,3,13,18,8,14,12,36,NA,28,24,0.2906554,0.388501,-1.071763696,17,18.5,NA,8.5,14,15,11.5,12,17.75,8.5,14.5,11.75,3,12
PC4290,SB,13,21.38,F,7,NA,12,12,7,8,18,NA,14,12,3,11,12,7.5,18,13,24,15,NA,26,13,13,7,8,16,11,13,11,3,12,13,7.5,13.5,12,26,15,27,24,0.3887905,0.3818622,-1.033876479,12.5,12.5,7,8,17,NA,13.5,11.5,12.5,7.5,15,12.5,3,11.5
PC4291,SB,12.5,16.71,M,3,4,19,20,6,9,17,18,13,13,5,12,19.5,7.5,17.5,13,39,15,35,26,19,20,7,9,17,18,13,13,4,10,19.5,8,17.5,13,39,16,35,26,0.3980498,0.5413425,-0.9620295,19,20,6.5,9,17,18,13,13,19.5,7.75,17.5,13,4.5,11
PC4292,SB,10.6,12.42,F,7,6,18,17,6,8,12,12,13,13,4,8,17.5,7,12,13,35,14,24,26,18,17,7,8,NA,NA,13,12,3,9,17.5,7.5,NA,12.5,35,15,NA,25,0.2105322,0.2674388,-1.236524594,18,17,6.5,8,12,12,13,12.5,17.5,7.25,12,12.75,3.5,8.5
PC4293,SB,12.4,17.9,M,6,6,18,18,8,7,16,15,15,14,4,10,18,7.5,15.5,14.5,36,15,31,29,17,17,8,6,17,15,15,14,5,10,17,7,16,14.5,34,14,32,29,0.503779,0.5206079,-0.988972865,17.5,17.5,8,6.5,16.5,15,15,14,17.5,7.25,15.75,14.5,4.5,10
PC4294,SB,12.1,18.33,M,7,6,20,22,7,8,15,16,13,13,3,12,21,7.5,15.5,13,42,15,31,26,20,21,8,8,16,15,13,14,3,12,20.5,8,15.5,13.5,41,16,31,27,0.538666,0.5377838,-0.94952094,20,21.5,7.5,8,15.5,15.5,13,13.5,20.75,7.75,15.5,13.25,3,12
PC4295,SB,12.9,26.57,M,7,4,14,16,8,8,18,16,12,11,3,11,15,8,17,11.5,30,16,34,23,15,15,8,8,17,15,12,12,4,12,15,8,16,12,30,16,32,24,0.3682033,0.510491,-0.982077135,14.5,15.5,8,8,17.5,15.5,12,11.5,15,8,16.5,11.75,3.5,11.5
PC4296,SB,13.5,24.9,NA,NA,4,18,17,NA,8,17,16,13,13,4,12,17.5,8,16.5,13,35,NA,33,26,17,17,NA,8,16,16,11,13,4,11,17,8,16,12,34,NA,32,24,0.544503,0.5601062,-0.965486212,17.5,17,NA,8,16.5,16,12,13,17.25,8,16.25,12.5,4,11.5
