id_me,morph,length_cm,weight_g,sex,mat,age,may_maxilla_rt,may_maxilla_lt,may_premaxilla_rt,may_premaxilla_lt,may_palatine_rt,may_palatine_lt,may_dentary_rt,may_dentary_lt,may_vomer,may_glossohyal,may_maxilla_mean,may_premaxilla_mean,may_palatine_mean,may_dentary_mean,may_maxilla_sum,may_premaxilla_sum,may_palatine_sum,may_dentary_sum,march_maxilla_rt,march_maxilla_lt,march_premaxilla_rt,march_premaxilla_lt,march_palatine_rt,march_palatine_lt,march_dentary_rt,march_dentary_lt,march_vomer,march_glossohyal,march_maxilla_mean,march_premaxilla_mean,march_palatine_mean,march_dentary_mean,march_maxilla_sum,march_premaxilla_sum,march_palatine_sum,march_dentary_sum,logCsize_dentary,logCsize_maxilla,logCsize_premaxilla,maxilla_rt,maxilla_lt,premaxilla_rt,premaxilla_lt,palatine_rt,palatine_lt,dentary_rt,dentary_lt,maxilla,premaxilla,palatine,dentary,vomer,glossohyal
PC4297,SB,11.1,14.46,F,7,4,18,18,7,7,16,16,13,13,4,11,18,7,16,13,36,14,32,26,17,17,7,7,15,15,12,13,4,11,17,7,15,12.5,34,14,30,25,0.2004732,0.230068,-1.24151212,17.5,17.5,7,7,15.5,15.5,12.5,13,17.5,7,15.5,12.75,4,11
PC4298,SB,10.9,15.75,F,7,5,16,17,8,NA,NA,13,13,12,1,11,16.5,8,13,12.5,33,NA,NA,25,16,17,8,NA,NA,14,12,10,1,10,16.5,8,14,11,33,NA,NA,22,0.2201126,0.2927665,-1.196899994,16,17,8,NA,NA,13.5,12.5,11,16.5,8,13.5,11.75,1,10.5
PC4299,SB,11.5,15.88,M,7,4,18,18,8,8,14,12,12,13,NA,11,18,8,13,12.5,36,16,26,25,18,18,7,8,13,13,13,12,NA,11,18,7.5,13,12.5,36,15,26,25,0.3218048,0.3786319,-1.065388755,18,18,7.5,8,13.5,12.5,12.5,12.5,18,7.75,13,12.5,NA,11
PC4300,SB,10.9,13.76,M,7,3,15,18,8,7,16,15,14,13,NA,NA,16.5,7.5,15.5,13.5,33,15,31,27,14,19,7,7,15,15,14,13,NA,NA,16.5,7,15,13.5,33,14,30,27,0.3131071,0.3919797,-1.099569273,14.5,18.5,7.5,7,15.5,15,14,13,16.5,7.25,15.25,13.5,NA,NA
PC4301,PI,25,181.84,M,6,8,21,23,8,8,18,19,18,18,9,12,22,8,18.5,18,44,16,37,36,22,23,7,8,17,19,18,16,9,11,22.5,7.5,18,17,45,15,36,34,1.1934617,1.2328154,-0.343810919,21.5,23,7.5,8,17.5,19,18,17,22.25,7.75,18.25,17.5,9,11.5
PC4302,PI,24.9,161.8,M,6,7,20,22,7,6,21,18,16,19,7,12,21,6.5,19.5,17.5,42,13,39,35,22,22,6,7,22,18,16,19,7,12,22,6.5,20,17.5,44,13,40,35,1.1811798,1.1125161,-0.388412544,21,22,6.5,6.5,21.5,18,16,19,21.5,6.5,19.75,17.5,7,12
PC4303,PI,23.7,141.58,M,6,NA,22,21,8,7,17,17,16,17,5,12,21.5,7.5,17,16.5,43,15,34,33,24,21,7,7,17,17,16,17,5,10,22.5,7,17,16.5,45,14,34,33,1.1246548,1.1227614,-0.475286926,23,21,7.5,7,17,17,16,17,22,7.25,17,16.5,5,11
PC4305,LB,37.1,543.07,M,7,6,23,20,6,7,19,19,15,14,5,13,21.5,6.5,19,14.5,43,13,38,29,25,22,5,6,19,18,14,15,5,13,23.5,5.5,18.5,14.5,47,11,37,29,1.4040684,1.4812446,-0.014852925,24,21,5.5,6.5,19,18.5,14.5,14.5,22.5,6,18.75,14.5,5,13
PC4306,LB,34.2,550,M,7,6,19,20,6,6,17,15,14,14,2,11,19.5,6,16,14,39,12,32,28,21,20,5,6,14,13,13,12,2,11,20.5,5.5,13.5,12.5,41,11,27,25,1.2593819,1.3140327,-0.194486785,20,20,5.5,6,15.5,14,13.5,13,20,5.75,14.75,13.25,2,11
PC4307,LB,50,1000,M,7,8,20,19,8,6,18,16,12,15,4,12,19.5,7,17,13.5,39,14,34,27,23,20,6,6,18,17,12,12,5,10,21.5,6,17.5,12,43,12,35,24,1.7519391,1.8277277,0.319980095,21.5,19.5,7,6,18,16.5,12,13.5,20.5,6.5,17.25,12.75,4.5,11
PC4308,LB,50.1,1195,M,6,9,23,24,7,8,16,16,16,15,4,12,23.5,7.5,16,15.5,47,15,32,31,23,24,8,8,16,15,16,15,4,12,23.5,8,15.5,15.5,47,16,31,31,1.7605989,1.8687329,0.384537161,23,24,7.5,8,16,15.5,16,15,23.5,7.75,15.75,15.5,4,12
PC4309,LB,52.1,1420,M,7,15,20,22,7,8,17,18,12,13,7,15,21,7.5,17.5,12.5,42,15,35,25,20,22,7,8,17,17,12,13,7,15,21,7.5,17,12.5,42,15,34,25,1.9546536,1.987697,0.637130595,20,22,7,8,17,17.5,12,13,21,7.5,17.25,12.5,7,15
PC4310,LB,38.8,610,M,7,9,20,18,7,8,16,14,16,16,6,10,19,7.5,15,16,38,15,30,32,20,18,7,8,14,13,16,15,7,11,19,7.5,13.5,15.5,38,15,27,31,1.5343947,1.627293,0.042469279,20,18,7,8,15,13.5,16,15.5,19,7.5,14.25,15.75,6.5,10.5
PC4311,LB,44,995,F,7,9,24,20,8,6,14,NA,19,15,3,12,22,7,14,17,44,14,NA,34,24,20,8,6,14,12,19,14,3,13,22,7,13,16.5,44,14,26,33,1.5482042,1.6431327,0.133767174,24,20,8,6,14,NA,19,14.5,22,7,13.33333333,16.75,3,12.5
PC4312,LB,42.6,1080,F,7,8,20,18,8,7,18,15,14,14,5,10,19,7.5,16.5,14,38,15,33,28,19,18,8,6,17,15,15,14,5,10,18.5,7,16,14.5,37,14,32,29,1.5017325,1.568459,0.024333405,19.5,18,8,6.5,17.5,15,14.5,14,18.75,7.25,16.25,14.25,5,10
PC4313,LB,38.2,700,M,7,5,21,22,8,8,15,13,17,16,3,12,21.5,8,14,16.5,43,16,28,33,21,22,8,8,15,13,16,14,3,13,21.5,8,14,15,43,16,28,30,1.5226103,1.595413,0.055982206,21,22,8,8,15,13,16.5,15,21.5,8,14,15.75,3,12.5
PC4314,LB,45.1,1135,M,7,13,21,20,7,6,14,14,14,17,6,12,20.5,6.5,14,15.5,41,13,28,31,20,20,7,6,15,14,15,17,6,12,20,6.5,14.5,16,40,13,29,32,1.7670563,1.6724955,0.259416495,20.5,20,7,6,14.5,14,14.5,17,20.25,6.5,14.25,15.75,6,12
PC4315,LB,49,1565,M,7,11,20,20,7,8,15,15,16,17,5,11,20,7.5,15,16.5,40,15,30,33,19,20,7,6,14,14,15,16,5,11,19.5,6.5,14,15.5,39,13,28,31,1.8284066,1.9344247,0.408054538,19.5,20,7,7,14.5,14.5,15.5,16.5,19.75,7,14.5,16,5,11
PC4316,LB,49.8,1370,M,7,12,26,27,8,6,17,19,23,20,6,16,26.5,7,18,21.5,53,14,36,43,27,27,8,6,17,19,20,22,5,15,27,7,18,21,54,14,36,42,2.0418131,1.9711637,0.561065627,26.5,27,8,6,17,19,21.5,21,26.75,7,18,21.25,5.5,15.5
PC4317,LB,43.8,1030,F,7,6,23,24,9,7,16,19,16,15,6,11,23.5,8,17.5,15.5,47,16,35,31,22,23,8,7,16,18,16,15,6,11,22.5,7.5,17,15.5,45,15,34,31,1.4157388,1.6160668,0.071886114,22.5,23.5,8.5,7,16,18.5,16,15,23,7.75,17.25,15.5,6,11
PC4318,LB,36.3,545,M,7,8,20,18,8,6,14,16,14,12,5,NA,19,7,15,13,38,14,30,26,21,18,8,5,14,14,13,11,5,NA,19.5,6.5,14,12,39,13,28,24,1.4133064,1.5068619,0.056541169,20.5,18,8,5.5,14,15,13.5,11.5,19.25,6.75,14.5,12.5,5,NA
PC4319,LB,47.4,1085,F,7,8,21,23,8,7,18,15,19,18,2,12,22,7.5,16.5,18.5,44,15,33,37,21,22,8,6,17,14,18,18,2,12,21.5,7,15.5,18,43,14,31,36,1.6055533,1.6879065,0.289266956,21,22.5,8,6.5,17.5,14.5,18.5,18,21.75,7.25,16,18.25,2,12
PC4320,LB,32.9,385,M,7,6,21,22,6,7,16,15,14,14,5,11,21.5,6.5,15.5,14,43,13,31,28,20,21,6,7,15,15,15,13,5,11,20.5,6.5,15,14,41,13,30,28,1.2718351,1.3119226,-0.089353729,20.5,21.5,6,7,15.5,15,14.5,13.5,21,6.5,15.25,14,5,11
PC4321,LB,30.8,320,M,7,7,21,21,8,9,18,18,15,15,5,10,21,8.5,18,15,42,17,36,30,19,18,7,8,18,17,14,16,4,9,18.5,7.5,17.5,15,37,15,35,30,1.2610109,1.3107995,-0.203162239,20,19.5,7.5,8.5,18,17.5,14.5,15.5,19.75,8,17.75,15,4.5,9.5
PC4322,LB,41.4,980,M,7,8,23,22,7,8,18,18,13,16,6,12,22.5,7.5,18,14.5,45,15,36,29,22,22,7,8,16,17,14,14,6,12,22,7.5,16.5,14,44,15,33,28,1.5666674,1.6615154,0.108028004,22.5,22,7,8,17,17.5,13.5,15,22.25,7.5,17.25,14.25,6,12
PC4323,LB,41.7,920,F,7,8,19,23,8,8,15,16,15,16,5,13,21,8,15.5,15.5,42,16,31,31,19,22,8,8,15,15,13,15,4,11,20.5,8,15,14,41,16,30,28,1.4117025,1.5235916,-0.022046351,19,22.5,8,8,15,15.5,14,15.5,20.75,8,15.25,14.75,4.5,12
PC4324,LB,44,1040,M,7,9,23,22,6,9,16,15,15,15,6,13,22.5,7.5,15.5,15,45,15,31,30,24,21,6,9,15,15,15,14,5,12,22.5,7.5,15,14.5,45,15,30,29,1.7035511,1.7371992,0.235104336,23.5,21.5,6,9,15.5,15,15,14.5,22.5,7.5,15.25,14.75,5.5,12.5
PC4325,LB,34,400,M,7,8,24,27,6,6,21,20,19,19,5,14,25.5,6,20.5,19,51,12,41,38,24,27,6,6,20,19,18,17,5,13,25.5,6,19.5,17.5,51,12,39,35,1.4340854,1.5379994,-0.031540347,24,27,6,6,20.5,19.5,18.5,18,25.5,6,20,18.25,5,13.5
PC4326,LB,39.9,780,M,7,8,18,20,7,5,13,12,13,13,2,13,19,6,12.5,13,38,12,25,26,18,20,7,5,13,12,13,12,2,11,19,6,12.5,12.5,38,12,25,25,1.5223078,1.6107263,-0.059815089,18,20,7,5,13,12,13,12.5,19,6,12.5,12.75,2,12
PC4327,LB,53,1935,M,7,9,21,20,8,6,15,14,12,12,6,10,20.5,7,14.5,12,41,14,29,24,21,20,7,7,15,14,12,12,6,10,20.5,7,14.5,12,41,14,29,24,1.8494556,1.9067253,0.337557181,21,20,7.5,6.5,15,14,12,12,20.5,7,14.5,12,6,10
PC4328,LB,41.2,780,M,7,8,24,25,9,8,17,17,21,21,5,16,24.5,8.5,17,21,49,17,34,42,24,25,9,7,17,16,21,21,6,16,24.5,8,16.5,21,49,16,33,42,1.7443661,1.791991,0.263160882,24,25,9,7.5,17,16.5,21,21,24.5,8.25,16.75,21,5.5,16
PC4329,LB,35.4,670,M,7,7,22,21,6,7,15,12,11,13,2,9,21.5,6.5,13.5,12,43,13,27,24,22,22,6,6,14,12,12,11,2,9,22,6,13,11.5,44,12,26,23,1.5026374,1.546863,0.056267205,22,21.5,6,6.5,14.5,12,11.5,12,21.75,6.25,13.25,11.75,2,9
PC4330,LB,41.9,925,M,7,7,20,18,8,7,18,18,15,14,5,11,19,7.5,18,14.5,38,15,36,29,21,17,8,7,15,16,14,13,5,11,19,7.5,15.5,13.5,38,15,31,27,1.5451679,1.6367833,0.228754012,20.5,17.5,8,7,16.5,17,14.5,13.5,19,7.5,16.75,14,5,11
PC4331,LB,40.8,800,F,7,11,21,23,8,8,19,19,16,15,3,12,22,8,19,15.5,44,16,38,31,21,23,8,8,17,17,16,15,5,12,22,8,17,15.5,44,16,34,31,1.507682,1.5876506,0.13764431,21,23,8,8,18,18,16,15,22,8,18,15.5,4,12
PC4332,LB,30.3,330,M,7,7,18,21,8,7,NA,15,12,11,5,8,19.5,7.5,15,11.5,39,15,NA,23,18,20,8,7,11,11,11,10,5,8,19,7.5,11,10.5,38,15,22,21,1.1887599,1.2816562,-0.131092114,18,20.5,8,7,NA,13,11.5,10.5,19.25,7.5,12.33333333,11,5,8
PC4333,LB,43,830,M,7,7,20,19,7,7,15,15,18,17,5,13,19.5,7,15,17.5,39,14,30,35,20,18,7,7,15,15,19,17,4,11,19,7,15,18,38,14,30,36,1.6526753,1.6951557,0.263707931,20,18.5,7,7,15,15,18.5,17,19.25,7,15,17.75,4.5,12
PC4334,LB,44,960,F,7,8,23,25,7,6,18,20,17,16,7,11,24,6.5,19,16.5,48,13,38,33,23,25,7,6,17,20,16,14,6,12,24,6.5,18.5,15,48,13,37,30,1.4394487,1.5919754,0.133180788,23,25,7,6,17.5,20,16.5,15,24,6.5,18.75,15.75,6.5,11.5
PC4349,PL,25.2,119.64,F,7,7,19,17,8,6,18,17,17,16,7,13,18,7,17.5,16.5,36,14,35,33,19,17,8,7,17,16,16,16,8,12,18,7.5,16.5,16,36,15,33,32,0.9854856,0.9769251,-0.620208443,19,17,8,6.5,17.5,16.5,16.5,16,18,7.25,17,16.25,7.5,12.5
PC4350,PL,17.4,38.03,M,7,6,16,17,7,8,16,16,15,16,7,13,16.5,7.5,16,15.5,33,15,32,31,16,17,7,7,16,13,15,15,6,11,16.5,7,14.5,15,33,14,29,30,0.5946098,0.5415976,-0.964643694,16,17,7,7.5,16,14.5,15,15.5,16.5,7.25,15.25,15.25,6.5,12
PC4351,PL,19,54.31,M,7,6,19,18,8,NA,16,17,17,16,4,12,18.5,8,16.5,16.5,37,NA,33,33,19,18,8,NA,16,17,16,15,5,13,18.5,8,16.5,15.5,37,NA,33,31,0.7490944,0.7631699,-0.873499125,19,18,8,NA,16,17,16.5,15.5,18.5,8,16.5,16,4.5,12.5
PC4352,PL,21.2,76.26,F,7,6,18,19,9,7,17,12,17,17,7,13,18.5,8,14.5,17,37,16,29,34,18,19,8,8,16,12,15,15,5,13,18.5,8,14,15,37,16,28,30,0.8378394,0.8073999,-0.830791282,18,19,8.5,7.5,16.5,12,16,16,18.5,8,14.25,16,6,13
PC4353,PL,17.4,38.43,F,7,6,18,19,7,6,17,17,15,13,4,10,18.5,6.5,17,14,37,13,34,28,18,18,7,6,15,17,13,11,4,10,18,6.5,16,12,36,13,32,24,0.557816,0.622764,-1.032990292,18,18.5,7,6,16,17,14,12,18.25,6.5,16.5,13,4,10
PC4354,PL,21.4,77.76,M,7,6,19,16,8,8,19,16,14,15,4,11,17.5,8,17.5,14.5,35,16,35,29,19,17,8,8,19,14,15,14,4,12,18,8,16.5,14.5,36,16,33,29,0.8380185,0.8188653,-0.758804054,19,16.5,8,8,19,15,14.5,14.5,17.75,8,17,14.5,4,11.5
PC4355,PL,18,40.49,M,7,6,20,19,7,8,17,20,16,17,4,12,19.5,7.5,18.5,16.5,39,15,37,33,20,19,7,8,16,18,16,17,4,12,19.5,7.5,17,16.5,39,15,34,33,0.6712597,0.7022678,-1.042192157,20,19,7,8,16.5,19,16,17,19.5,7.5,17.75,16.5,4,12
PC4356,PL,21.4,74.03,M,7,6,20,21,7,7,17,17,17,17,3,14,20.5,7,17,17,41,14,34,34,20,21,7,8,17,16,16,17,3,14,20.5,7.5,16.5,16.5,41,15,33,33,0.8338468,0.8507629,-0.822997859,20,21,7,7.5,17,16.5,16.5,17,20.5,7.25,16.75,16.75,3,14
PC4357,PL,21.8,89.24,F,7,7,19,18,7,7,NA,17,16,15,3,12,18.5,7,17,15.5,37,14,NA,31,19,18,7,7,11,15,14,15,3,13,18.5,7,13,14.5,37,14,26,29,0.8352438,0.8423585,-0.79397781,19,18,7,7,NA,16,15,15,18.5,7,14.33333333,15,3,12.5
PC4358,PL,21,70.3,F,7,6,19,17,8,8,18,18,15,17,3,14,18,8,18,16,36,16,36,32,19,19,8,8,15,17,15,16,3,13,19,8,16,15.5,38,16,32,31,0.8009874,0.7967478,-0.750251308,19,18,8,8,16.5,17.5,15,16.5,18.5,8,17,15.75,3,13.5
PC4359,PL,22.4,101.1,F,7,7,20,22,8,NA,17,16,18,16,4,13,21,8,16.5,17,42,NA,33,34,20,21,8,NA,17,16,16,14,4,13,20.5,8,16.5,15,41,NA,33,30,0.9499243,0.9494218,-0.742600709,20,21.5,8,NA,17,16,17,15,20.75,8,16.5,16,4,13
PC4360,PL,23.2,91.75,F,7,8,22,21,8,9,18,15,18,19,NA,14,21.5,8.5,16.5,18.5,43,17,33,37,22,21,8,9,19,15,17,17,NA,15,21.5,8.5,17,17,43,17,34,34,0.9165008,0.9113611,-0.639858276,22,21,8,9,18.5,15,17.5,18,21.5,8.5,16.75,17.75,NA,14.5
PC4361,PL,21.4,80.68,F,7,7,20,21,6,8,19,17,17,17,5,15,20.5,7,18,17,41,14,36,34,20,21,7,8,19,17,17,15,5,15,20.5,7.5,18,16,41,15,36,32,0.865553,0.8588207,-0.720938419,20,21,6.5,8,19,17,17,16,20.5,7.25,18,16.5,5,15
PC4362,PL,19.2,58.28,M,7,4,16,19,7,8,21,18,17,17,5,12,17.5,7.5,19.5,17,35,15,39,34,18,18,7,7,20,17,16,17,5,12,18,7,18.5,16.5,36,14,37,33,0.7587582,0.7423301,-0.832704544,17,18.5,7,7.5,20.5,17.5,16.5,17,17.75,7.25,19,16.75,5,12
PC4363,PL,18.2,41.6,F,7,6,15,17,8,7,18,NA,15,14,NA,14,16,7.5,18,14.5,32,15,NA,29,15,17,8,7,16,NA,14,14,NA,14,16,7.5,16,14,32,15,NA,28,0.6508501,0.6655296,-0.912761503,15,17,8,7,17,NA,14.5,14,16,7.5,17,14.25,NA,14
PC4364,PL,20.4,62.64,F,7,7,19,19,7,6,15,17,16,13,4,14,19,6.5,16,14.5,38,13,32,29,20,20,7,7,16,16,15,14,4,12,20,7,16,14.5,40,14,32,29,0.7989202,0.8018161,-0.864753589,19.5,19.5,7,6.5,15.5,16.5,15.5,13.5,19.5,6.75,16,14.5,4,13
PC4365,PL,24,109.96,F,7,8,19,21,8,7,17,17,16,16,4,12,20,7.5,17,16,40,15,34,32,19,20,8,7,15,17,16,17,5,12,19.5,7.5,16,16.5,39,15,32,33,0.9724292,1.0183329,-0.611012976,19,20.5,8,7,16,17,16,16.5,19.75,7.5,16.5,16.25,4.5,12
PC4366,PL,15.8,27.36,M,7,5,16,19,9,8,17,17,15,15,4,12,17.5,8.5,17,15,35,17,34,30,18,19,9,8,17,17,14,16,4,14,18.5,8.5,17,15,37,17,34,30,0.6262606,0.5192614,-1.045715026,17,19,9,8,17,17,14.5,15.5,18,8.5,17,15,4,13
PC4367,PL,19.2,57.5,F,7,6,17,15,8,7,18,16,12,12,4,14,16,7.5,17,12,32,15,34,24,17,15,8,7,16,16,13,12,5,14,16,7.5,16,12.5,32,15,32,25,0.6670281,0.7213126,-0.899862316,17,15,8,7,17,16,12.5,12,16,7.5,16.5,12.25,4.5,14
PC4368,PL,20,55.21,F,7,5,18,19,9,NA,17,15,16,13,6,12,18.5,9,16,14.5,37,NA,32,29,20,19,9,NA,16,15,14,14,6,12,19.5,9,15.5,14,39,NA,31,28,0.7577275,0.683579,-1.021555053,19,19,9,NA,16.5,15,15,13.5,19,9,15.75,14.25,6,12
PC4369,PL,18.2,49.95,F,7,6,18,19,7,7,17,18,14,16,5,11,18.5,7,17.5,15,37,14,35,30,17,19,7,6,16,17,12,15,4,12,18,6.5,16.5,13.5,36,13,33,27,0.6478851,0.6556324,-0.948246321,17.5,19,7,6.5,16.5,17.5,13,15.5,18.25,6.75,17,14.25,4.5,11.5
PC4370,PL,23.6,102.51,M,7,7,21,21,7,8,14,15,19,17,4,14,21,7.5,14.5,18,42,15,29,36,21,21,7,8,14,15,19,17,4,14,21,7.5,14.5,18,42,15,29,36,1.0026172,1.0567673,-0.563540392,21,21,7,8,14,15,19,17,21,7.5,14.5,18,4,14
PC4371,LB,50,1340,F,2,NA,NA,24,8,7,18,15,15,17,3,10,24,7.5,16.5,16,NA,15,33,32,NA,23,7,7,16,14,17,15,4,10,23,7,15,16,NA,14,30,32,1.7896223,1.8572783,0.399423282,NA,23.5,7.5,7,17,14.5,16,16,23.5,7.25,15.75,16,3.5,10
PC4372,PI,45.4,1030,M,7,12,24,23,8,NA,19,19,22,26,8,16,23.5,8,19,24,47,NA,38,48,24,23,7,NA,19,18,22,24,8,16,23.5,7,18.5,23,47,NA,37,46,1.9763047,1.9370398,0.478222269,24,23,7.5,NA,19,18.5,22,25,23.5,7.5,18.75,23.5,8,16
PC4373,LB,37.6,730,F,2,7,21,22,8,7,19,15,13,13,3,12,21.5,7.5,17,13,43,15,34,26,23,23,7,7,16,15,13,12,3,11,23,7,15.5,12.5,46,14,31,25,1.2732709,1.3370201,-0.143835154,22,22.5,7.5,7,17.5,15,13,12.5,22.25,7.25,16.25,12.75,3,11.5
PC4374,PI,37.6,500,F,7,9,19,18,8,8,21,20,15,17,8,10,18.5,8,20.5,16,37,16,41,32,17,18,7,7,19,19,15,16,8,11,17.5,7,19,15.5,35,14,38,31,1.4618751,1.452667,-0.074467004,18,18,7.5,7.5,20,19.5,15,16.5,18,7.5,19.75,15.75,8,10.5
PC4375,LB,52.8,1500,F,2,12,20,18,8,8,18,19,15,17,6,12,19,8,18.5,16,38,16,37,32,20,18,7,8,18,17,14,16,7,10,19,7.5,17.5,15,38,15,35,30,1.7304235,1.7747447,0.308486599,20,18,7.5,8,18,18,14.5,16.5,19,7.75,18,15.5,6.5,11
PC4376,LB,40.4,765,F,2,8,23,24,NA,7,16,16,12,15,4,13,23.5,7,16,13.5,47,NA,32,27,23,22,NA,7,17,14,12,12,4,14,22.5,7,15.5,12,45,NA,31,24,1.4707434,1.4969956,-0.066295674,23,23,NA,7,16.5,15,12,13.5,23,7,15.75,12.75,4,13.5
PC4377,PI,52.4,1505,M,6,9,24,20,9,8,20,17,20,21,6,14,22,8.5,18.5,20.5,44,17,37,41,25,21,8,8,20,17,20,18,5,13,23,8,18.5,19,46,16,37,38,1.924652,1.9358185,0.521937486,24.5,20.5,8.5,8,20,17,20,19.5,22.5,8.25,18.5,19.75,5.5,13.5
PC4378,PI,41.2,680,M,7,8,26,21,8,9,18,20,15,14,6,14,23.5,8.5,19,14.5,47,17,38,29,26,22,7,7,15,19,16,14,6,13,24,7,17,15,48,14,34,30,1.7331607,1.640413,0.120359249,26,21.5,7.5,8,16.5,19.5,15.5,14,23.75,7.75,18,14.75,6,13.5
PC4379,LB,46.2,1315,M,1,7,19,23,8,7,18,18,14,14,4,12,21,7.5,18,14,42,15,36,28,16,21,6,7,16,18,11,12,4,13,18.5,6.5,17,11.5,37,13,34,23,1.5981385,1.7602775,0.278871307,17.5,22,7,7,17,18,12.5,13,19.75,7,17.5,12.75,4,12.5
PC4380,PI,46,1255,M,1,7,19,20,8,9,16,16,18,14,3,12,19.5,8.5,16,16,39,17,32,32,19,19,7,6,13,15,16,11,3,12,19,6.5,14,13.5,38,13,28,27,1.815156,1.8254595,0.445024495,19,19.5,7.5,7.5,14.5,15.5,17,12.5,19.25,7.5,15,14.75,3,12
PC4381,PI,36,525,M,7,7,18,19,8,7,16,16,17,19,7,11,18.5,7.5,16,18,37,15,32,36,18,19,7,6,15,17,15,17,6,11,18.5,6.5,16,16,37,13,32,32,1.6835569,1.6926995,0.175563437,18,19,7.5,6.5,15.5,16.5,16,18,18.5,7,16,17,6.5,11
PC4382,PI,44.2,940,M,7,8,18,20,7,7,17,16,14,15,7,16,19,7,16.5,14.5,38,14,33,29,17,21,7,6,15,14,12,15,5,16,19,6.5,14.5,13.5,38,13,29,27,1.7543931,1.7479365,0.232318015,17.5,20.5,7,6.5,16,15,13,15,19,6.75,15.5,14,6,16
PC4383,PI,34.6,375,M,7,7,21,22,8,8,19,19,17,17,7,14,21.5,8,19,17,43,16,38,34,20,21,7,8,18,18,17,15,6,12,20.5,7.5,18,16,41,15,36,32,1.4154661,1.4297385,-0.126921994,20.5,21.5,7.5,8,18.5,18.5,17,16,21,7.75,18.5,16.5,6.5,13
PC4384,PI,43.8,995,F,7,9,23,25,8,8,18,20,19,18,6,12,24,8,19,18.5,48,16,38,37,24,21,8,8,17,20,17,17,6,13,22.5,8,18.5,17,45,16,37,34,1.6728065,1.6748957,0.064648071,23.5,23,8,8,17.5,20,18,17.5,23.25,8,18.75,17.75,6,12.5
PC4385,PI,36.4,380,M,7,7,20,18,7,7,18,13,13,17,4,18,19,7,15.5,15,38,14,31,30,21,19,7,6,15,13,12,16,5,18,20,6.5,14,14,40,13,28,28,1.5609401,1.5198259,-0.041888106,20.5,18.5,7,6.5,16.5,13,12.5,16.5,19.5,6.75,14.75,14.5,4.5,18
PC4386,PI,36.6,435,M,7,9,20,21,7,8,14,18,13,13,4,13,20.5,7.5,16,13,41,15,32,26,20,22,7,6,13,17,11,13,5,13,21,6.5,15,12,42,13,30,24,1.5295359,1.5871455,-0.007148312,20,21.5,7,7,13.5,17.5,12,13,20.75,7,15.5,12.5,4.5,13
PC4387,LB,40.6,750,M,1,7,21,19,8,8,15,18,15,14,5,10,20,8,16.5,14.5,40,16,33,29,20,19,8,5,15,17,13,13,5,10,19.5,6.5,16,13,39,13,32,26,1.5601724,1.5769722,0.197803413,20.5,19,8,6.5,15,17.5,14,13.5,19.75,7.25,16.25,13.75,5,10
PC4388,LB,38,615,M,2,8,17,NA,7,8,17,18,14,13,6,11,17,7.5,17.5,13.5,NA,15,35,27,18,16,6,8,18,17,14,12,6,11,17,7,17.5,13,34,14,35,26,1.4131692,1.4050373,-0.040256165,17.5,NA,6.5,8,17.5,17.5,14,12.5,17,7.25,17.5,13.25,6,11
PC4389,PI,42,725,M,7,8,20,22,8,7,19,19,19,17,6,19,21,7.5,19,18,42,15,38,36,18,21,8,7,18,19,17,16,4,20,19.5,7.5,18.5,16.5,39,15,37,33,1.7444238,1.8302674,0.354438044,19,21.5,8,7,18.5,19,18,16.5,20.25,7.5,18.75,17.25,5,19.5
PC4390,PI,37.8,485,M,6,8,21,21,7,7,17,19,16,17,7,17,21,7,18,16.5,42,14,36,33,22,21,6,7,14,17,16,17,7,17,21.5,6.5,15.5,16.5,43,13,31,33,1.5918797,1.5230084,0.054055366,21.5,21,6.5,7,15.5,18,16,17,21.25,6.75,16.75,16.5,7,17
PC4391,PL,23.6,100,F,7,7,20,21,9,8,20,14,16,18,3,15,20.5,8.5,17,17,41,17,34,34,19,21,9,8,17,12,16,17,3,15,20,8.5,14.5,16.5,40,17,29,33,0.9067503,0.9004726,-0.703064471,19.5,21,9,8,18.5,13,16,17.5,20.25,8.5,15.75,16.75,3,15
PC4392,PI,30.2,235,F,7,8,21,23,8,8,20,19,18,17,3,13,22,8,19.5,17.5,44,16,39,35,20,23,7,8,20,17,17,17,4,13,21.5,7.5,18.5,17,43,15,37,34,1.3011933,1.3152082,-0.273251465,20.5,23,7.5,8,20,18,17.5,17,21.75,7.75,19,17.25,3.5,13
PC4393,PI,36.7,575,M,7,10,22,24,8,9,21,21,20,21,8,14,23,8.5,21,20.5,46,17,42,41,24,24,8,9,19,20,22,20,8,14,24,8.5,19.5,21,48,17,39,42,1.621709,1.5627847,0.025048823,23,24,8,9,20,20.5,21,20.5,23.5,8.5,20.25,20.75,8,14
